date,Line1,Line2,Line4,Line5,Line6,Line7,Line8,Line9,Line10,Line11,Line13,Line14,Line15,Line16,Line17,Line19,LineFS,LineCP,LineYZ,LineYF,LineS1,LineT1,LineXJ,LineSD,LineDX
2023/5/8,95.45,71.1,99.44,82.27,97.98,52.53,56.78,42.81,160.22,0.17,53.4,79.89,39.26,25.38,6.33,15.42,26.18,35.88,21.25,2.81,4.95,0.24,1.72,1.58,3.23
2023/5/9,99.4,70.77,98.49,83.63,99.28,52.44,59.09,42.07,159.32,0.18,53.45,79.43,39.55,25.3,6.3,15.18,25.65,36.04,21.09,2.69,4.93,0.23,1.68,1.56,2.84
2023/5/10,100.25,73.01,100.55,83.91,101.08,52.9,60.52,42.57,159.96,0.22,53.86,80.38,40.05,25.52,6.32,15.47,25.75,36.56,21.15,2.66,4.92,0.23,1.69,1.63,3.1
2023/5/11,98.99,71.2,99.05,83.16,99.37,52.21,59.84,42.07,159.64,0.75,53.34,79.78,40.69,25.12,6.29,15.36,25.66,36.03,20.91,2.66,4.88,0.23,1.69,1.6,3.06
2023/5/12,103.77,77.05,109.64,87.4,104.19,56.26,63.6,46.39,169.57,0.83,56.51,86.01,42.89,27.01,6.53,16.24,27.29,38.43,22.19,3.29,5.06,0.24,1.67,1.94,3.7
2023/5/13,72.11,47.17,88.87,55.88,67.81,40.88,56,26.82,105.21,0.61,32.3,56.69,25.25,17.66,4.7,9.41,16.68,24.64,13.98,2.14,3.09,0.11,3.48,1.44,2.83
2023/5/14,61.36,41.18,78.95,48.32,57.63,36.64,45.39,25.26,90.23,0.29,28.29,50.33,21.91,15.25,4.1,8.57,15.21,21.44,12.21,2.23,2.67,0.15,2.51,1.58,3.38
2023/5/15,94.75,71.71,99.02,81.88,97.62,52.36,56.79,42.49,158.89,0.09,53.76,79.65,39.19,25.35,6.32,15.28,25.99,35.99,21.03,2.86,4.91,0.23,1.5,1.65,3.28
2023/5/16,96.9,69.23,95.71,81.9,96.66,51.23,57.66,41.2,155.81,0.1,52.06,77.66,38.7,24.73,6.18,14.71,25.26,35.44,20.63,2.62,4.89,0.22,1.43,1.4,2.77
2023/5/17,97.46,69.42,97.6,82.09,97.63,51.6,58.87,41.13,157.63,0.11,52.75,78.56,39.08,24.87,6.24,15.04,25.34,36.05,20.75,2.63,4.89,0.22,1.59,1.65,3.12
2023/5/18,98.03,69.99,98.61,82.17,97.71,51.72,59.31,41.29,157.89,0.12,51.4,78.39,39.08,24.76,6.2,15.28,25.41,35.97,20.75,2.65,4.88,0.22,1.68,1.57,3.22
2023/5/19,101.82,75.63,108.04,86.25,101.47,55.69,60.91,45.82,166.89,0.14,56.27,84.75,41.44,26.79,6.38,16.12,26.66,38.08,21.59,3.19,4.98,0.24,1.54,2.11,3.89
2023/5/20,69.63,44.28,83.21,53.09,63.05,38.97,50.6,25.54,99.13,0.2,30.2,53.64,24.7,16.02,4.34,8.85,16.3,23.48,13.44,2.09,3,0.18,2.27,1.47,2.97
2023/5/21,61.64,40.65,75.38,48.11,56.07,35.77,44.07,24.86,88.51,0.42,27.96,48.81,22.79,14.39,3.87,8.38,14.93,21.11,12.4,2.14,2.68,0.15,2.43,1.65,3.59
2023/5/22,93.28,69.77,97.77,80.94,96.34,51.58,55.98,41.99,156.72,0.36,52.91,78.49,38.99,25.11,6.25,15.18,25.7,35.62,20.75,2.77,4.92,0.22,1.55,1.69,3.29
2023/5/23,96.54,69.75,95.46,81.35,97.53,50.71,57.32,41.01,156.59,0.23,52.19,77.44,38.64,24.72,6.26,14.9,25.37,35.61,20.64,2.62,4.85,0.22,1.56,1.5,2.93
2023/5/24,95.69,68.31,95.28,81,95.77,50.3,56.8,40.55,155.2,0.1,52.08,77.05,38.18,24.43,6.16,14.84,24.95,35.48,20.37,2.57,4.77,0.23,1.5,1.57,3.08
2023/5/25,94.83,67.88,94.61,80.05,94.71,49.9,56.65,40.08,153.44,0.09,51.34,76.26,37.97,24.24,6.03,14.69,24.74,35.37,20.2,2.53,4.76,0.23,1.47,1.51,3.09
2023/5/26,100.65,73.8,106.68,84.66,100.86,54.62,66.24,44.6,166.78,0.1,55.38,83.6,42.12,26.65,6.37,16.01,26.54,38.55,21.52,3.23,4.98,0.22,1.66,2.02,4.01
2023/5/27,59.47,39.28,69.4,48,54.8,34.04,48.22,22.06,88,0.08,27.02,46.91,22.54,14.04,3.88,8.03,13.42,20.69,11.52,1.74,2.63,0.14,1.48,1.38,2.98
2023/5/28,60.15,40.2,75.18,48.05,56.45,35.31,48.04,24.07,89.74,0.12,27.62,49.28,22.84,14.98,3.97,8.29,14.68,20.92,12.32,2.13,2.65,0.14,2.48,1.59,3.53
2023/5/29,90.81,67.75,94.82,79.06,94.11,50.52,54.47,41.06,154.24,0.1,52.1,77.04,38.26,24.72,6.13,14.98,25.29,35.28,20.51,2.75,4.79,0.22,1.38,1.64,3.31
2023/5/30,94.94,68.15,93.61,80.14,94.61,49.95,55.97,40.44,153.52,0.11,50.88,76.44,38.45,24.6,5.97,14.74,24.52,34.59,20.33,2.52,4.68,0.23,1.36,1.43,2.95
2023/5/31,95.31,68.65,95.07,80.57,96.15,50.45,60.05,40.57,155.5,0.12,51.8,77.91,40.83,24.55,6.06,15.04,24.96,35.92,20.17,2.57,4.84,0.22,1.49,1.59,3.24
2023/6/1,98.42,69.75,98.65,80.59,96.17,52.36,62.65,40.74,155.52,0.17,51.41,78.88,40.71,24.48,6.01,14.92,25.01,35.88,20.04,2.58,4.9,0.22,1.65,1.58,3.19
2023/6/2,102.11,76.5,106.46,85.89,102.78,55.49,62.92,44.92,168.03,0.14,56.54,84.71,42.02,26.7,6.44,16.14,26.7,38.67,21.69,3.22,5.04,0.24,1.55,1.94,3.89
2023/6/3,63.85,42.52,77.73,51.52,61.05,37.17,53.63,24.16,95.61,0.16,28.64,50.75,23.63,15.93,4.18,8.65,14.89,21.86,12.66,1.88,2.88,0.16,2.35,1.42,2.86
2023/6/4,55.3,38.14,71.42,45.41,53.82,34.5,41.92,23.26,83.93,0.15,26.35,47.28,20.45,14.14,3.81,7.98,13.93,19.35,11.51,2.06,2.57,0.15,1.82,1.63,3.63
2023/6/5,92.79,70.12,96.42,80.29,96.49,51.59,56.32,41.83,156.31,0.16,52.74,77.84,38.68,25.08,6.23,15.18,25.54,35.78,20.63,2.78,4.85,0.22,1.34,1.6,3.29
2023/6/6,98.14,69.7,95.89,81.53,97.48,51.8,59.77,41.35,156.05,0.21,51.69,77.62,38.72,24.87,6.2,15.07,25.15,35.7,20.46,2.61,5.05,0.22,1.35,1.56,3.01
2023/6/7,97.73,69.56,96.1,80.65,95.43,51.16,59.35,40.72,154.88,0.53,51.29,77.33,38.62,24.5,6.15,14.87,24.68,35.68,20.12,2.58,5,0.2,1.36,1.61,3
2023/6/8,97.52,69.84,96.39,80.42,95.56,51.2,59.79,40.93,154.59,0.56,51.2,77.31,38.66,24.43,6.07,14.98,24.89,35.33,20,2.56,4.8,0.21,1.41,1.68,3.29
2023/6/9,101.03,74.69,105.78,84.22,100.25,54.43,64.23,44.69,164.88,0.45,55.74,83.69,41.5,26.29,6.32,15.9,26.29,38.32,21.27,3.09,4.96,0.22,1.4,2.1,3.99
2023/6/10,64.03,42.33,79.4,50.45,58.8,36.55,49.96,23.94,95.38,0.28,29.17,51.12,23.08,15.71,4.4,8.61,14.84,21.68,12.5,1.95,2.86,0.16,2.07,1.57,3.12
2023/6/11,57.29,38.83,71.79,45.56,54.15,34.28,43.48,23.76,85.44,0.09,26.67,47.79,20.82,14.22,3.9,8.12,14,19.57,11.64,2.11,2.61,0.17,1.79,1.59,3.57
