seed,data,model,pred_len,train_time,mse,mae,mape,total inference time,avg inference time,avg_sample_time
3456,electricity,SCINet,48,884.6644,0.2045,0.3192,1.5007,5.2205,0.032,0.001
3456,electricity,SCINet,96,923.7996,0.2423,0.3439,1.6692,5.07,0.0313,0.001
3456,electricity,SegRNN,6,78.5526,0.1011,0.2222,1.2406,0.2817,0.0017,0.0001
3456,electricity,SegRNN,24,78.0021,0.1814,0.3116,1.749,0.2724,0.0017,0.0001
3456,electricity,SegRNN,48,84.4046,1.4731,0.9382,5.3549,0.2985,0.0018,0.0001
3456,electricity,SegRNN,96,95.2115,1.6326,0.9951,5.4559,0.3806,0.0023,0.0001
3047,exchange rate,TimeXer,6,15.7082,0.0089,0.0712,0.0599,0.1003,0.0016,0.0001
3047,exchange rate,TimeXer,24,12.5259,0.0272,0.1281,0.1096,0.1097,0.0017,0.0001
3047,exchange rate,TimeXer,48,14.157,0.053,0.1748,0.1467,0.1019,0.0016,0.0001
3047,exchange rate,TimeXer,96,21.5861,0.1013,0.2314,0.1984,0.1121,0.0019,0.0001
1234,exchange rate,TimeXer,6,14.9237,0.0089,0.0714,0.0602,0.0995,0.0016,0.0001
1234,exchange rate,TimeXer,24,12.7751,0.0268,0.1249,0.1053,0.0985,0.0016,0.0001
1234,exchange rate,TimeXer,48,14.083,0.0528,0.1743,0.1443,0.1331,0.0021,0.0001
1234,exchange rate,TimeXer,96,21.6065,0.1031,0.2351,0.2078,0.1604,0.0027,0.0001
5678,exchange rate,TimeXer,6,16.5137,0.0082,0.0686,0.0572,0.11,0.0017,0.0001
5678,exchange rate,TimeXer,24,13.7486,0.0295,0.1322,0.115,0.1213,0.0019,0.0001
5678,exchange rate,TimeXer,48,13.0144,0.0538,0.1734,0.1471,0.0981,0.0016,0.0001
5678,exchange rate,TimeXer,96,18.5759,0.1145,0.2462,0.223,0.1587,0.0026,0.0001
9012,exchange rate,TimeXer,6,17.4581,0.0081,0.068,0.0562,0.1064,0.0017,0.0001
9012,exchange rate,TimeXer,24,15.2701,0.0281,0.1279,0.1087,0.1031,0.0016,0.0001
9012,exchange rate,TimeXer,48,12.3995,0.0539,0.1772,0.1504,0.1024,0.0017,0.0001
9012,exchange rate,TimeXer,96,18.1794,0.1037,0.2398,0.2122,0.122,0.002,0.0001
3456,exchange rate,TimeXer,6,15.6361,0.0086,0.0702,0.0601,0.1063,0.0017,0.0001
3456,exchange rate,TimeXer,24,12.3667,0.0297,0.1322,0.112,0.1243,0.002,0.0001
3456,exchange rate,TimeXer,48,10.7654,0.0602,0.1928,0.1798,0.1204,0.0019,0.0001
1234,exchange rate,XGBoost,6,2.3686,0.25404,0.50292,22.48866,,,
1234,exchange rate,XGBoost,24,0.86292,0.73358,0.85518,37.85116,,,
1234,exchange rate,XGBoost,48,0.86667,2.02265,1.42069,62.78472,,,
1234,exchange rate,XGBoost,96,0.89936,3.36246,1.82259,77.83995,,,
3047,exchange rate,XGBoost,6,1.44476,0.25826,0.50695,22.66771,,,
3047,exchange rate,XGBoost,24,0.92079,0.67579,0.82066,36.32058,,,
3047,exchange rate,XGBoost,48,0.9341,2.25877,1.50164,66.36787,,,
3047,exchange rate,XGBoost,96,0.94379,3.4483,1.84677,78.88487,,,
3456,exchange rate,XGBoost,6,2.39984,0.25067,0.49959,22.33996,,,
3456,exchange rate,XGBoost,24,0.8836,0.66265,0.81263,35.96537,,,
3456,exchange rate,XGBoost,48,0.92558,2.22758,1.4912,65.9059,,,
3456,exchange rate,XGBoost,96,0.92239,3.66052,1.90281,81.28466,,,
5678,exchange rate,XGBoost,6,2.39831,0.21368,0.46104,20.61437,,,
5678,exchange rate,XGBoost,24,0.92925,0.71843,0.84623,37.45343,,,
5678,exchange rate,XGBoost,48,0.93684,2.18496,1.47685,65.27048,,,
5678,exchange rate,XGBoost,96,0.90149,3.54742,1.87341,80.0266,,,
9012,exchange rate,XGBoost,6,2.43666,0.21723,0.46491,20.78783,,,
9012,exchange rate,XGBoost,24,0.88978,0.6524,0.8063,35.68453,,,
9012,exchange rate,XGBoost,48,0.95916,2.17882,1.47475,65.17833,,,
9012,exchange rate,XGBoost,96,0.86547,3.5378,1.87096,79.92038,,,
1234,exchange rate,SARIMAX,6,2.21508,0.00545,0.07347,,,,
1234,exchange rate,SARIMAX,24,2.24494,0.00534,0.06283,,,,
1234,exchange rate,SARIMAX,48,2.2159,0.00746,0.07636,,,,
1234,exchange rate,SARIMAX,96,2.29228,0.0052,0.06056,,,,
3047,exchange rate,TimeMixer,6,15.6277,0.0091,0.073,0.0611,0.1401,0.0022,0.0001
3047,exchange rate,TimeMixer,24,13.0925,0.0287,0.1308,0.1111,0.1349,0.0021,0.0001
3047,exchange rate,TimeMixer,48,10.6906,0.0505,0.1738,0.155,0.1472,0.0024,0.0001
3047,exchange rate,TimeMixer,96,13.8876,0.0915,0.2317,0.2007,0.1328,0.0022,0.0001
3047,exchange rate,SCINet,6,121.896,0.0096,0.076,0.0628,0.7118,0.0113,0.0005
3047,exchange rate,SCINet,24,135.3763,0.0385,0.148,0.1296,0.6439,0.0102,0.0004
3047,exchange rate,SCINet,48,97.8633,0.0671,0.1975,0.1696,0.6778,0.0109,0.0005
3047,exchange rate,SCINet,96,190.6813,0.1641,0.304,0.2745,0.9589,0.016,0.0007
3047,exchange rate,SegRNN,6,8.5885,0.0076,0.0647,0.0542,0.0373,0.0006,0
3047,exchange rate,SegRNN,24,5.9592,0.024,0.118,0.1005,0.0388,0.0006,0
3047,exchange rate,SegRNN,48,8.3412,0.0448,0.16,0.1403,0.0402,0.0006,0
3047,exchange rate,SegRNN,96,10.7955,0.0898,0.2216,0.201,0.0434,0.0007,0
1234,exchange rate,TimeMixer,6,15.7541,0.0088,0.0716,0.0584,0.1467,0.0023,0.0001
1234,exchange rate,TimeMixer,24,14.6836,0.0257,0.1248,0.108,0.135,0.0021,0.0001
1234,exchange rate,TimeMixer,48,12.9966,0.0503,0.1722,0.148,0.1412,0.0023,0.0001
1234,exchange rate,TimeMixer,96,16.2766,0.1023,0.2432,0.2276,0.1614,0.0027,0.0001
1234,exchange rate,SCINet,6,146.3616,0.0098,0.076,0.0632,0.6599,0.0105,0.0004
1234,exchange rate,SCINet,24,98.2934,0.0322,0.1375,0.1203,0.8799,0.014,0.0006
1234,exchange rate,SCINet,48,97.6077,0.0636,0.1939,0.1823,0.7164,0.0116,0.0005
1234,exchange rate,SCINet,96,170.426,0.1059,0.2474,0.2199,1.1177,0.0186,0.0008
1234,exchange rate,SegRNN,6,7.4078,0.0076,0.0646,0.0542,0.0429,0.0007,0
1234,exchange rate,SegRNN,24,5.8483,0.0241,0.1185,0.1007,0.0299,0.0005,0
1234,exchange rate,SegRNN,48,6.2671,0.0465,0.1626,0.1441,0.0418,0.0007,0
1234,exchange rate,SegRNN,96,12.1883,0.0915,0.2231,0.2033,0.0672,0.0011,0
5678,exchange rate,TimeMixer,6,16.1677,0.009,0.0725,0.0604,0.1472,0.0023,0.0001
5678,exchange rate,TimeMixer,24,12.7433,0.039,0.1526,0.1475,0.1366,0.0022,0.0001
5678,exchange rate,TimeMixer,48,10.6781,0.0626,0.1943,0.1813,0.1332,0.0021,0.0001
5678,exchange rate,TimeMixer,96,14.626,0.1021,0.244,0.2321,0.1606,0.0027,0.0001
5678,exchange rate,SCINet,6,131.6591,0.01,0.0774,0.0657,0.842,0.0134,0.0006
5678,exchange rate,SCINet,24,149.5631,0.0374,0.1476,0.1301,0.7089,0.0113,0.0005
5678,exchange rate,SCINet,48,112.5044,0.0702,0.2016,0.1932,0.7228,0.0117,0.0005
5678,exchange rate,SCINet,96,223.7708,0.1435,0.2897,0.2472,0.8767,0.0146,0.0006
5678,exchange rate,SegRNN,6,9.0716,0.0076,0.0643,0.0539,0.0455,0.0007,0
5678,exchange rate,SegRNN,24,6.1378,0.0246,0.1189,0.1012,0.0329,0.0005,0
5678,exchange rate,SegRNN,48,8.5414,0.0447,0.1598,0.1399,0.0332,0.0005,0
5678,exchange rate,SegRNN,96,8.5305,0.0955,0.2269,0.2082,0.0628,0.001,0
9012,exchange rate,TimeMixer,6,16.1439,0.0087,0.0714,0.0583,0.1448,0.0023,0.0001
9012,exchange rate,TimeMixer,24,16.1457,0.0261,0.1245,0.1044,0.1504,0.0024,0.0001
9012,exchange rate,TimeMixer,48,11.2576,0.0755,0.2208,0.2074,0.149,0.0024,0.0001
9012,exchange rate,TimeMixer,96,14.8091,0.1112,0.251,0.2374,0.149,0.0025,0.0001
9012,exchange rate,SCINet,6,148.5833,0.0119,0.0849,0.0698,0.9285,0.0147,0.0006
9012,exchange rate,SCINet,24,120.2926,0.035,0.1438,0.1282,0.6825,0.0108,0.0005
9012,exchange rate,SCINet,48,134.3231,0.0648,0.1992,0.1695,0.9081,0.0146,0.0006
9012,exchange rate,SCINet,96,179.3316,0.1203,0.2586,0.2256,0.9065,0.0151,0.0006
9012,exchange rate,SegRNN,6,9.0726,0.0076,0.0645,0.054,0.0406,0.0006,0
9012,exchange rate,SegRNN,24,6.9152,0.0255,0.1202,0.1041,0.0403,0.0006,0
9012,exchange rate,SegRNN,48,7.0656,0.0459,0.1615,0.1426,0.0457,0.0007,0
9012,exchange rate,SegRNN,96,8.8916,0.0893,0.2214,0.2003,0.0542,0.0009,0
3456,exchange rate,TimeMixer,6,15.8228,0.0088,0.0719,0.0588,0.1442,0.0023,0.0001
3456,exchange rate,TimeMixer,24,14.7887,0.0296,0.1317,0.1138,0.1428,0.0023,0.0001
3456,exchange rate,TimeMixer,48,12.0992,0.0522,0.1768,0.1581,0.1376,0.0022,0.0001
3456,exchange rate,TimeMixer,96,14.4868,0.1122,0.2554,0.2402,0.1544,0.0026,0.0001
3456,exchange rate,SCINet,6,138.4336,0.0107,0.08,0.0681,0.8772,0.0139,0.0006
3456,exchange rate,SCINet,24,145.0375,0.031,0.1359,0.1168,0.708,0.0112,0.0005
3456,exchange rate,SCINet,48,109.821,0.0628,0.1904,0.1678,0.9461,0.0153,0.0006
3456,exchange rate,SCINet,96,211.2118,0.1233,0.2533,0.2078,1.2481,0.0208,0.0009
3456,exchange rate,SegRNN,6,7.1338,0.0076,0.0646,0.0541,0.0446,0.0007,0
3456,exchange rate,SegRNN,24,7.7217,0.025,0.1192,0.101,0.0565,0.0009,0
3456,exchange rate,SegRNN,48,5.5624,0.0485,0.1656,0.1477,0.0275,0.0004,0
3456,exchange rate,SegRNN,96,13.4253,0.0883,0.2204,0.1988,0.0519,0.0009,0
3456,exchange rate,TimeXer,96,17.4394,0.1072,0.2468,0.2133,0.1426,0.0024,0.0001
1234,Line1,XGBoost,1,0.68611145,27.31992238,5.226846313,4.704632145,,,
1234,Line1,XGBoost,7,0.152333975,299.2280514,14.63974291,13.37787026,,,
1234,Line1,XGBoost,14,0.299592733,472.0605579,19.38390978,18.18315036,,,
1234,Line1,XGBoost,28,0.226823092,339.862154,16.51678812,15.68802433,,,
3047,Line1,XGBoost,1,1.713973045,25.99607212,5.098634338,4.589229828,,,
3047,Line1,XGBoost,7,0.146234512,291.2144799,14.24466343,12.96516128,,,
3047,Line1,XGBoost,14,0.217335939,531.6324423,20.61950657,19.35957246,,,
3047,Line1,XGBoost,28,0.228291512,285.4796142,15.0871197,14.313079,,,
3456,Line1,XGBoost,1,1.730822086,22.53316994,4.746911621,4.272647724,,,
3456,Line1,XGBoost,7,0.145579576,260.6811159,13.66450605,12.47113453,,,
3456,Line1,XGBoost,14,0.249481201,480.5813487,19.8922122,18.8249522,,,
3456,Line1,XGBoost,28,0.217337132,284.2140935,15.14295542,14.40876797,,,
5678,Line1,XGBoost,1,1.699257612,42.5266936,6.52124939,5.869711422,,,
5678,Line1,XGBoost,7,0.157989025,288.2529387,14.35199049,13.14004944,,,
5678,Line1,XGBoost,14,0.265189171,545.3059647,20.67964964,19.30237611,,,
5678,Line1,XGBoost,28,0.238307953,294.1457309,15.4972517,14.77654536,,,
9012,Line1,XGBoost,1,2.063557148,36.5304923,6.044046021,5.440185437,,,
9012,Line1,XGBoost,7,0.484859228,245.9813506,13.36937134,12.24920976,,,
9012,Line1,XGBoost,14,0.667128563,471.1315182,19.38825309,18.18459306,,,
